央视,#genre#
CCTV1,https://itv.lat/live?token=240411&id=cctv1
CCTV2,https://itv.lat/live?token=240411&id=cctv2
CCTV3,https://itv.lat/live?token=240411&id=cctv3
CCTV4,https://itv.lat/live?token=240411&id=cctv4
CCTV5,https://itv.lat/live?token=240411&id=cctv5
CCTV5+,https://itv.lat/live?token=240411&id=cctv5p
CCTV6,https://itv.lat/live?token=240411&id=cctv6
CCTV7,https://itv.lat/live?token=240411&id=cctv7
CCTV8,https://itv.lat/live?token=240411&id=cctv8
CCTV9,https://itv.lat/live?token=240411&id=cctv9
CCTV10,https://itv.lat/live?token=240411&id=cctv10
CCTV11,https://itv.lat/live?token=240411&id=cctv11
CCTV12,https://itv.lat/live?token=240411&id=cctv12
CCTV13,https://itv.lat/live?token=240411&id=cctv13
CCTV14,https://itv.lat/live?token=240411&id=cctv14
CCTV15,https://itv.lat/live?token=240411&id=cctv15
CCTV16,https://itv.lat/live?token=240411&id=cctv16
CCTV16,https://itv.lat/live?token=240411&id=cctv16-4K
CCTV17,https://itv.lat/live?token=240411&id=cctv17
CCTV4K,https://itv.lat/live?token=240411&id=cctv4K
CCTV8K,https://itv.lat/live?token=240411&id=cctv8k
兵器科技,https://itv.lat/live?token=240411&id=bqkj
第一剧场,https://itv.lat/live?token=240411&id=dyjc
怀旧剧场,https://itv.lat/live?token=240411&id=hjjc
风云剧场,https://itv.lat/live?token=240411&id=fyjc
风云音乐,https://itv.lat/live?token=240411&id=fyyy
风云足球,https://itv.lat/live?token=240411&id=fyzq
电视指南,https://itv.lat/live?token=240411&id=dszn
女性时尚,https://itv.lat/live?token=240411&id=nxss
文化精品,https://itv.lat/live?token=240411&id=whjp
世界地理,https://itv.lat/live?token=240411&id=sjdl
高尔夫网球,https://itv.lat/live?token=240411&id=gefwq
央视台球,https://itv.lat/live?token=240411&id=ystq
卫生健康,https://itv.lat/live?token=240411&id=wsjk
CGTN,https://itv.lat/live?token=240411&id=cgtn
CGTN纪录,https://itv.lat/live?token=240411&id=cgtnjl
CGTN西语,https://itv.lat/live?token=240411&id=cgtne
CGTN法语,https://itv.lat/live?token=240411&id=cgtnf
CGTN阿语,https://itv.lat/live?token=240411&id=cgtna
CGTN俄语,https://itv.lat/live?token=240411&id=cgtnr

卫视,#genre#
北京卫视,https://itv.lat/live?token=240411&id=bjws
东方卫视,https://itv.lat/live?token=240411&id=dfws
天津卫视,https://itv.lat/live?token=240411&id=tjws
重庆卫视,https://itv.lat/live?token=240411&id=cqws
黑龙江卫视,https://itv.lat/live?token=240411&id=hljws
辽宁卫视,https://itv.lat/live?token=240411&id=lnws
河北卫视,https://itv.lat/live?token=240411&id=hbws
山东卫视,https://itv.lat/live?token=240411&id=sdws
安徽卫视,https://itv.lat/live?token=240411&id=ahws
河南卫视,https://itv.lat/live?token=240411&id=hnws
湖北卫视,https://itv.lat/live?token=240411&id=hubws
湖南卫视,https://itv.lat/live?token=240411&id=hunws
江西卫视,https://itv.lat/live?token=240411&id=jxws
江苏卫视,https://itv.lat/live?token=240411&id=jsws
浙江卫视,https://itv.lat/live?token=240411&id=zjws
东南卫视,https://itv.lat/live?token=240411&id=dnws
广东卫视,https://itv.lat/live?token=240411&id=gdws
深圳卫视,https://itv.lat/live?token=240411&id=szws
广西卫视,https://itv.lat/live?token=240411&id=gxws
贵州卫视,https://itv.lat/live?token=240411&id=gzws
四川卫视,https://itv.lat/live?token=240411&id=scws
新疆卫视,https://itv.lat/live?token=240411&id=xjws
海南卫视,https://itv.lat/live?token=240411&id=hinws

